id,user,course,difficulty,workload,final_grade,semesters_taken,created_at,updated_at
163,15,234124,5.0,10.0,91.0,,2020-10-23 05:12:02.271073+00:00,2020-10-23 05:12:02.271109+00:00
164,15,104032,8.0,7.0,86.0,,2020-10-23 05:12:28.832752+00:00,2020-10-23 05:12:28.832780+00:00
165,15,234141,8.0,2.0,72.0,,2020-10-23 05:13:23.772632+00:00,2020-10-23 05:13:23.772652+00:00
167,27,104166,7.5,9.0,94.0,,2020-10-23 08:48:39.183093+00:00,2020-10-23 08:48:39.183132+00:00
168,27,104031,8.0,9.0,100.0,,2020-10-23 08:49:36.185298+00:00,2020-10-23 08:49:48.800728+00:00
169,27,234114,4.0,2.0,99.0,,2020-10-23 08:50:34.887650+00:00,2020-10-23 08:50:34.887685+00:00
170,27,104032,8.0,7.5,100.0,,2020-10-23 08:51:25.294934+00:00,2020-10-23 08:51:25.295028+00:00
171,27,234124,7.5,10.0,86.0,,2020-10-23 08:52:20.302981+00:00,2020-10-23 08:52:20.303032+00:00
172,27,234125,7.0,8.0,97.0,,2020-10-23 08:53:23.239614+00:00,2020-10-23 08:53:23.239649+00:00
173,27,234141,9.0,6.0,95.0,,2020-10-23 08:53:46.747979+00:00,2020-10-23 08:53:46.748016+00:00
174,27,234129,5.5,3.0,88.0,,2020-10-23 08:56:12.724946+00:00,2020-10-23 08:56:12.724994+00:00
175,28,114074,9.0,7.0,85.0,,2020-10-23 09:24:59.025677+00:00,2020-10-23 09:25:16.079906+00:00
183,13,104166,5.0,4.0,96.0,,2020-10-23 11:35:50.828932+00:00,2020-10-23 11:35:50.828975+00:00
184,13,234114,4.0,6.0,86.0,,2020-10-23 11:36:16.218560+00:00,2020-10-23 11:36:16.218599+00:00
176,28,104031,7.5,7.0,86.0,,2020-10-23 09:26:03.820040+00:00,2020-10-23 09:31:36.221471+00:00
178,28,234117,9.0,8.5,95.0,,2020-10-23 09:28:27.722630+00:00,2020-10-23 09:31:47.368244+00:00
177,28,104016,10.0,7.0,93.0,,2020-10-23 09:27:33.879537+00:00,2020-10-23 09:32:01.806127+00:00
179,28,45001,1.0,1.0,97.0,,2020-10-23 09:32:35.174961+00:00,2020-10-23 09:32:35.174987+00:00
180,28,44252,5.5,5.0,90.0,,2020-10-23 09:33:34.569645+00:00,2020-10-23 09:33:34.569687+00:00
181,28,104013,6.0,5.5,92.0,,2020-10-23 09:36:22.991431+00:00,2020-10-23 09:36:22.991555+00:00
182,13,104031,7.5,7.5,83.0,,2020-10-23 11:35:31.312918+00:00,2020-10-23 11:35:31.312958+00:00
185,13,234129,2.5,2.5,97.0,,2020-10-23 11:36:38.537681+00:00,2020-10-23 11:36:38.537702+00:00
186,29,234114,2.0,1.5,97.0,,2020-10-23 19:20:57.648113+00:00,2020-10-23 19:20:57.648141+00:00
187,29,114071,2.5,1.0,93.0,,2020-10-23 19:21:34.519374+00:00,2020-10-23 19:21:34.519414+00:00
188,29,234124,5.5,8.0,91.0,,2020-10-23 19:22:05.737477+00:00,2020-10-23 19:22:05.737517+00:00
189,29,104166,5.0,5.0,76.0,,2020-10-23 19:22:28.209510+00:00,2020-10-23 19:22:28.209534+00:00
190,29,104195,7.0,5.0,71.0,,2020-10-23 19:23:13.624838+00:00,2020-10-23 19:23:13.624869+00:00
192,29,104281,7.0,5.5,76.0,,2020-10-23 19:25:16.660799+00:00,2020-10-23 19:25:16.660826+00:00
193,29,104286,8.0,3.0,71.0,,2020-10-23 19:25:41.245852+00:00,2020-10-23 19:25:41.245889+00:00
194,29,104002,4.0,3.0,95.0,,2020-10-23 19:26:58.002462+00:00,2020-10-23 19:26:58.002483+00:00
195,30,104031,9.5,8.5,65.0,,2020-10-24 06:42:10.684016+00:00,2020-10-24 06:42:10.684045+00:00
196,30,104016,9.0,8.5,77.0,,2020-10-24 06:44:05.329516+00:00,2020-10-24 06:44:05.329542+00:00
197,30,114071,9.5,9.0,80.0,,2020-10-24 06:44:34.051111+00:00,2020-10-24 06:44:34.051159+00:00
198,30,234117,9.5,9.5,75.0,,2020-10-24 06:45:06.071048+00:00,2020-10-24 06:45:06.071096+00:00
199,30,44252,9.0,8.5,78.0,,2020-10-24 06:46:30.169180+00:00,2020-10-24 06:46:30.169212+00:00
200,30,114075,9.5,8.5,71.0,,2020-10-24 06:47:08.047841+00:00,2020-10-24 06:47:08.047889+00:00
201,30,104013,9.0,8.0,85.0,,2020-10-24 06:48:04.982335+00:00,2020-10-24 06:48:04.982376+00:00
202,30,104035,8.5,8.5,97.0,,2020-10-24 06:48:55.611935+00:00,2020-10-24 06:48:55.611964+00:00
203,30,114032,6.5,9.0,94.0,,2020-10-24 06:49:57.667359+00:00,2020-10-24 06:49:57.667389+00:00
204,30,44157,8.5,9.5,96.0,,2020-10-24 06:50:50.610592+00:00,2020-10-24 06:50:50.610616+00:00
205,30,104221,9.5,8.0,71.0,,2020-10-24 06:52:00.232422+00:00,2020-10-24 06:52:00.232468+00:00
206,30,104223,9.0,7.5,87.0,,2020-10-24 06:52:55.901640+00:00,2020-10-24 06:52:55.901694+00:00
207,30,44268,8.5,9.0,88.0,,2020-10-24 06:53:54.750966+00:00,2020-10-24 06:53:54.751010+00:00
208,30,44105,8.5,9.5,92.0,,2020-10-24 06:54:29.972265+00:00,2020-10-24 06:54:29.972309+00:00
209,30,114073,8.5,7.5,92.0,,2020-10-24 06:55:10.012159+00:00,2020-10-24 06:55:10.012206+00:00
210,30,44101,8.5,9.5,85.0,,2020-10-24 06:56:29.208526+00:00,2020-10-24 06:56:29.208572+00:00
211,31,104195,9.0,9.5,93.0,,2020-10-24 06:56:42.253929+00:00,2020-10-24 06:56:42.253978+00:00
212,30,44127,9.5,8.5,84.0,,2020-10-24 06:57:01.938314+00:00,2020-10-24 06:57:01.938365+00:00
213,31,234117,8.5,8.0,67.0,,2020-10-24 06:57:19.258132+00:00,2020-10-24 06:57:19.258174+00:00
214,30,44131,9.0,9.5,96.0,,2020-10-24 06:57:35.993872+00:00,2020-10-24 06:57:35.993914+00:00
215,30,104034,8.5,6.5,100.0,,2020-10-24 06:58:26.636211+00:00,2020-10-24 06:58:26.636253+00:00
216,31,104016,6.0,5.5,78.0,,2020-10-24 06:59:05.054059+00:00,2020-10-24 06:59:05.054095+00:00
217,31,114051,7.0,4.0,83.0,,2020-10-24 06:59:29.431353+00:00,2020-10-24 06:59:29.431374+00:00
218,30,324298,1.0,2.0,100.0,,2020-10-24 06:59:34.965490+00:00,2020-10-24 06:59:34.965524+00:00
219,31,94345,4.0,4.0,84.0,,2020-10-24 06:59:55.136168+00:00,2020-10-24 06:59:55.136202+00:00
220,31,94219,8.5,8.0,,,2020-10-24 07:00:42.290454+00:00,2020-10-24 07:00:42.290500+00:00
221,30,44158,8.5,7.5,99.0,,2020-10-24 07:00:42.903703+00:00,2020-10-24 07:00:42.903744+00:00
